9, 603.801, 533, 2018.88, 58.5
9, 588.392, 481, 1948.75, 48
9, 597.903, 518.75, 2003.5, 51.375
9, 597.571, 524.375, 2002.38, 39.875
9, 589.857, 527.125, 2021.38, 46.75
10, 494.013, 468.375, 1706.38, 40.75
10, 495.546, 468.875, 1692.88, 47.25
10, 496.057, 468, 1708.13, 48.75
10, 497.162, 471.125, 1641.75, 45.125
10, 463.154, 401.375, 1653, 48.125
10, 485.15, 442.5, 1538, 38.625
10, 551.344, 530.875, 1612.38, 44.25
10, 564.795, 554.25, 1675.88, 48
10, 523.44, 500.25, 1469.38, 43.125
10, 524.548, 504.875, 1505.5, 51.625
10, 513.271, 497.75, 1725.5, 43.25
10, 509.94, 496.875, 1849.25, 44.5
10, 515.005, 501.5, 1742.5, 43.25
10, 515.491, 506.5, 1650.88, 44.25
10, 518.645, 506.625, 1619.88, 52.125
10, 517.718, 509, 1582.63, 42.5
11, 539.457, 575.125, 1579.38, 26.875
11, 540.382, 577.5, 1567.5, 23.75
11, 541.219, 580.125, 1553.5, 15
11, 539.227, 577.375, 1559, 19.375
11, 541.876, 579, 1599.75, 15.625
11, 546.964, 579.75, 1574.75, 25.25
11, 559.729, 591.75, 1563.13, 41.875
11, 580.573, 603.875, 1704.12, 28.375
11, 604.902, 607.75, 2029, 28.25
11, 606.478, 606.5, 1979.88, 45.125
11, 619.384, 632.75, 1967, 45.375
11, 597.692, 611.375, 1880.63, 50.75
11, 536.115, 511.75, 1900.75, 34.875
11, 549.691, 538.75, 1910.12, 18.25
11, 563.185, 561.375, 1936.13, 35.625
11, 562.83, 560.875, 1973.25, 28.375
12, 630.448, 649.5, 1600.75, 62.625
12, 631.085, 650.125, 1595.25, 45.25
12, 632.704, 651.5, 1604.88, 76.375
12, 632.124, 652.5, 1621.13, 67.875
12, 636.319, 655.75, 1662, 67.75
12, 640.301, 655.875, 1691.13, 63.25
12, 654.533, 659.875, 1781.63, 64.125
12, 690.394, 679, 1847.38, 85.25
12, 755.515, 731, 1931, 66.25
12, 760.878, 728.875, 1933, 67.75
12, 751.547, 722, 1922.88, 48.5
12, 731.894, 699.125, 1896.88, 70.875
12, 714.46, 682.375, 1894.5, 42.125
12, 717.511, 681, 1881.13, 44.625
12, 720.098, 681, 1882.13, 61.25
12, 715.383, 678.375, 1887.13, 76.375
