1, 542.089, 506.75, 1768.5, 42
1, 657.068, 535.125, 1994.5, 49.25
1, 655.691, 589.375, 1945.5, 53.75
1, 678.342, 618.5, 1940.5, 47.625
2, 417.542, 383.375, 1488.75, 23.625
2, 558.696, 529.75, 1951, 50.5
2, 526.644, 484.25, 1855.25, 41.5
2, 531.044, 485.375, 1838.63, 48.875
3, 454.731, 484.25, 1622.75, 54.25
3, 470.294, 447.5, 1876.38, 55
3, 435.552, 397.875, 1904.75, 38.375
3, 435.894, 396.125, 1995.63, 32
4, 434.891, 373, 1515, 49
4, 519.289, 437.625, 1666.25, 69.625
4, 482.276, 413.25, 1622.5, 77.5
4, 477.264, 420.25, 1664.88, 71.625
5, 438.924, 418.5, 1453.5, 43
5, 601.143, 502.875, 1984.25, 56.625
5, 642.95, 563.375, 1924, 67.5
5, 639.776, 559.125, 1949.5, 70.25
6, 371.577, 304.375, 1254.62, 39.875
6, 614.962, 657.25, 1992.13, 50.5
6, 608.06, 631.875, 1935.63, 46.375
6, 621.308, 644.125, 2005.63, 40.75
7, 352.892, 368.5, 1190.88, 22.375
7, 378.695, 348.625, 1570.75, 30.25
7, 430.912, 411.875, 1651.5, 32.25
7, 430.485, 416.625, 1692, 36
8, 356.569, 392.375, 1484.75, 32.875
8, 355.349, 389.375, 1450.88, 30.875
8, 354.722, 388.875, 1475.62, 25
8, 355.052, 388.25, 1468.75, 23.5
8, 352.747, 373.25, 1456.88, 26.875
8, 354.54, 356.5, 1550.13, 38.625
8, 363.954, 402.25, 1584.75, 29.125
8, 334.927, 305.625, 1545.62, 33.75
8, 310.971, 281.75, 1563.13, 35.625
8, 307.23, 277.25, 1359.63, 32
8, 308.567, 279.25, 1517.88, 25.375
8, 311.886, 283.5, 1416, 31.25
8, 320.262, 295.625, 1525.62, 30.5
8, 318.058, 291, 1540.63, 36.5
8, 320.981, 295, 1546.63, 34.5
8, 321.158, 295, 1540.88, 32.5
9, 575.201, 511.875, 1888.87, 47
9, 604.346, 527.875, 1968.13, 57.5
9, 613.128, 536, 2012.75, 49.375
9, 584.32, 523.375, 2009.25, 53.125
10, 486.96, 437.5, 1669.88, 42.75
10, 545.26, 533.75, 1572.38, 37.125
10, 513.997, 505.125, 1582.25, 46.375
10, 515.546, 507.125, 1600.12, 44.875
11, 539.608, 581.25, 1589.25, 24.375
11, 595.871, 612.875, 1931.25, 32.625
11, 547.643, 523.25, 1869.38, 34.25
11, 562.611, 554.5, 1980.75, 50.25
12, 633.991, 651, 1633.88, 55
12, 734.49, 716.875, 1937, 69.5
12, 713.179, 682, 1906.13, 75
12, 717.252, 679.125, 1902.38, 69.875
